,twitter_id,screen_name,pred_gender,pred_org,pred_age,political_orientation
16737,127002901,APDONTIST,male,non-org,>=40,left
16738,3360045611,vohrabs,male,non-org,>=40,neutral
16739,1104744180650336256,Kvs_thegreat,male,non-org,19-29,neutral
16741,1136679299686096898,Suryapr75684778,male,non-org,<=18,left
16743,52656553,Biswasankita,female,non-org,30-39,neutral
16744,164994346,cadrsunilgupta,male,non-org,>=40,left
16745,132957426,drpawanbajaj,male,non-org,<=18,neutral
16746,22513829,gauravsabnis,male,non-org,30-39,neutral
16747,1721398944,NessyKarrat,male,non-org,>=40,right
16748,971304834631598081,GauravP75958783,male,non-org,30-39,neutral
16749,711447952733024257,sauri_1211,male,non-org,30-39,neutral
16750,166959190,AyushRajawat,male,non-org,30-39,neutral
16751,804816109622857728,TheIgnoredPoet,male,non-org,19-29,neutral
16752,597603604,viveksheth1988,male,non-org,30-39,right
16754,1362669863584493568,PhoenixMoveMore,female,non-org,19-29,left
16755,1034013588422193152,priyankap1996,male,non-org,19-29,neutral
16756,775243544134955008,TheVikasLohchab,male,non-org,19-29,left
16757,316371198,NatarajanRAM1,female,non-org,<=18,left
16758,1241632784377991169,_vivekranjan_,male,non-org,19-29,left
16759,1595500411,Pranavenstein,male,non-org,30-39,neutral
16764,143561256,jaynvora,male,non-org,>=40,neutral
16765,1922585070,4ashish2012,male,non-org,30-39,neutral
16766,933944151275536384,doc_synapse,male,non-org,30-39,left
16767,2783847553,nparama1951,male,non-org,>=40,neutral
16768,3305925144,jitender_kanwar,male,non-org,>=40,neutral
16769,44817501,ssanchitt,male,non-org,19-29,left
16771,1383768023329247233,yourprepbuddy,male,non-org,19-29,neutral
16772,185140416,JoydeepGrover,male,non-org,>=40,neutral
16774,73341971,ravi4354,male,non-org,>=40,left
16776,635466990,SaundiD,male,non-org,<=18,neutral
16777,1231808903714889730,AjitKum44415779,male,non-org,30-39,left
16778,1364932861778821120,AnilMal19551210,male,non-org,>=40,neutral
16779,2906681022,whorohitkapoor,male,non-org,30-39,neutral
16780,180309214,DileepDamisetti,male,non-org,19-29,left
16781,1007648983089647617,itsShilpiS,male,non-org,19-29,neutral
16782,102025845,jashanreeet,male,non-org,<=18,neutral
16783,1384058182083829763,Rahul28375830,male,non-org,30-39,neutral
16784,1641718692,ScholesLegacy18,male,non-org,<=18,neutral
16785,113392442,microsoftabhi,male,non-org,>=40,neutral
16787,1331583778574090242,kunal_dugar,male,non-org,19-29,neutral
16788,1383054344145240067,Subodh63562793,male,non-org,<=18,neutral
16789,1116790596541091840,dr_7_strange,male,non-org,30-39,left
16790,53003831,MenKiBaat,male,non-org,19-29,neutral
16791,1254112613102837760,iGaneshgopu,male,non-org,>=40,neutral
16792,427354250,sunilkapoor8,male,non-org,>=40,left
16793,1041379578,smadygo,male,non-org,>=40,neutral
16794,358033741,anandkt51,male,non-org,>=40,left
16795,9103452,destinationsrik,male,non-org,>=40,right
16797,1920053478,anoopdwvd88,male,non-org,30-39,left
16799,2382228398,seshagiribv,male,non-org,>=40,neutral
16801,742117578,spayal582,male,non-org,30-39,neutral
16802,1305601723419959296,TrendingtakO,male,non-org,30-39,neutral
16803,1126798849580777473,VinodKu60717732,male,non-org,19-29,neutral
16805,1277290018369761280,ChanduR54435805,male,non-org,<=18,left
16806,3679614492,KirtikaSunejaET,male,non-org,>=40,left
16807,401176929,TarunGupta49,male,non-org,30-39,neutral
16808,961805994,DrFarooqAhmad,male,non-org,>=40,neutral
16809,1018832548779253762,GoyalPradeepCA,male,non-org,30-39,neutral
16810,614343168,mayurvedik,male,non-org,<=18,left
16811,321027631,grootgp,male,non-org,>=40,neutral
16812,4182595452,jamileyeakhtar,male,non-org,19-29,left
16813,862632815921201156,Jitendra28091,male,non-org,<=18,neutral
16814,2897815423,jazzradio3,male,non-org,>=40,neutral
16815,1356524573169053696,IAmASaraf,male,non-org,19-29,neutral
16817,857581213,Madrassan_Pinky,male,non-org,19-29,neutral
16818,783415427095523328,mayank_palan,male,non-org,>=40,neutral
16819,1148454296,jinangb,male,non-org,<=18,neutral
16820,447019608,HimanshuKKV,male,non-org,>=40,neutral
16821,80281171,iammanojpandey,male,non-org,>=40,neutral
16822,237167509,kulco,male,non-org,<=18,neutral
16823,1352610011030159362,Nitin76477875,male,non-org,<=18,neutral
16824,559652727,PKashwan,male,non-org,>=40,left
16825,120789777,LITTLEPODGIE,male,non-org,>=40,neutral
16826,2272755655,ZakiAhmedOnline,male,non-org,19-29,neutral
16827,922414223879053312,rizuajq,male,non-org,>=40,left
16828,147947281,sarankaran_y,male,non-org,>=40,left
16830,1387802660179349510,KISHAN64969623,male,non-org,<=18,neutral
16831,178013620,mahajantarun,female,non-org,19-29,left
16832,833195613172948995,shubham_ranjan_,male,non-org,19-29,left
16833,393432489,drachintya,male,non-org,>=40,neutral
16835,722485761027796996,enigma_timorous,male,non-org,>=40,left
16836,1119499947014008832,Pranavsinh9,male,non-org,>=40,neutral
16837,949909340051271680,DhruvBanerjee9,male,non-org,>=40,neutral
16838,804009250573852673,amitpandey2297,male,non-org,19-29,left
16840,818064709253533697,sanjiv_kaila,female,non-org,<=18,neutral
16842,29610022,Nandamurifans,male,non-org,>=40,neutral
16844,1298981570171170818,neshnt,male,non-org,<=18,neutral
16846,892189964217307137,Rajeshbadgotii,male,non-org,30-39,neutral
16848,2232825216,AltamusAslam,male,non-org,19-29,left
16849,1184135837619019777,london_bromley,male,non-org,>=40,neutral
16850,141906925,HardeepAsrani,male,non-org,19-29,left
16851,1384447171647397889,A98729421,male,non-org,<=18,neutral
16852,1049497131868930049,DayaDarwazaTodo,female,non-org,<=18,neutral
16853,1218528949430439936,arunsoodbjp,male,non-org,>=40,left
16854,70751388,banuprakashas,male,non-org,>=40,left
16855,2468904096,imakshat_,male,non-org,19-29,neutral
16857,2320526888,journoprajakta,female,non-org,19-29,neutral
16858,1318482912216453120,RaviSax65869997,male,non-org,>=40,left
16860,1229474147027357696,eclector1419857,male,non-org,30-39,neutral
16861,359940747,babbarmohit,male,non-org,30-39,left
16862,18687794,AlokPatel,male,non-org,30-39,neutral
16863,773983153,shahhardik88,male,non-org,30-39,neutral
16864,49877768,surnell,male,non-org,>=40,neutral
16865,850305416609320960,PRAKH4R,male,non-org,30-39,neutral
16866,1672452854,Tiranga_Sena,male,non-org,<=18,neutral
16867,4648249992,nairnrc,male,non-org,19-29,neutral
16868,859362118402850817,DIRECTOR_TRILOK,male,non-org,>=40,left
16869,1384734283386916869,nagdev_gd,female,non-org,<=18,neutral
16870,1360650651332616192,ApuRDurga,male,non-org,19-29,neutral
16871,72811284,mehtaankitk,male,non-org,>=40,neutral
16873,295082450,dr_rushitrivedi,male,non-org,>=40,neutral
16875,3153527912,kunalbihani,male,non-org,30-39,neutral
16876,1385479516886212610,AmitKum45717947,male,non-org,19-29,neutral
16877,118364536,Tpskhalsa,male,non-org,<=18,neutral
16878,15688808,sandipmore,male,non-org,>=40,left
16879,1339788666,Vishwash__,male,non-org,19-29,neutral
16880,1365374393493331968,ArunWithJava,male,non-org,30-39,neutral
16882,87615589,Furkhan_Shaikh,male,non-org,30-39,neutral
16883,1845910021,sureshshastri06,male,non-org,>=40,left
16884,1235777973564948480,siddhDange8275,male,non-org,19-29,neutral
16887,2974126478,rishishaguna,male,non-org,19-29,neutral
16889,854678217633878017,JosePuliampatta,male,non-org,<=18,neutral
16890,711072835637096449,ECJET1,male,non-org,>=40,neutral
16891,3170997038,Singhviren_7,male,non-org,19-29,left
16892,2850580854,ritenpatel003,male,non-org,<=18,neutral
16893,1306654077485424640,Samrudh83851460,female,non-org,<=18,neutral
16894,285699606,sachandirdot,male,non-org,30-39,neutral
16895,1287546170751901696,ChinnappaDass15,male,non-org,30-39,neutral
16897,615961247,bystanderever,male,non-org,>=40,neutral
16898,295628693,iamindian_jay,male,non-org,30-39,neutral
16899,752954484,vikkyfauzdar,male,non-org,19-29,neutral
16900,3184065560,kailas_tandale,male,non-org,>=40,left
16901,883655472527491072,adnan_jane,male,non-org,<=18,right
16902,112972757,sandeshharkut,male,non-org,19-29,neutral
16903,44340808,peerashiq,male,non-org,>=40,left
16904,1057819708047552512,Vishesh_fans1,male,non-org,19-29,neutral
16905,1304353558393880576,sraroy,male,non-org,>=40,neutral
16906,700975680624816128,SoniAashima,female,non-org,19-29,left
16907,33464913,PankajPachauri,male,non-org,>=40,left
16908,2925524383,DURGESK26,male,non-org,30-39,neutral
16909,316367630,shailu_thinking,male,non-org,30-39,neutral
16910,631742837,gholapsujit,male,non-org,>=40,neutral
16912,1371632925192589312,MMMKrishna5,male,non-org,>=40,neutral
16913,301324025,dayanaruhhh,female,non-org,<=18,neutral
16915,910731166793162752,MarathiRojgar,male,non-org,>=40,neutral
16916,75475601,answeringlaw,male,non-org,>=40,left
16917,932246180242657280,TauhidA170903,male,non-org,<=18,left
16918,2921840647,akiranprasad1,male,non-org,>=40,left
16919,1226143172209700869,bear_risa,male,non-org,>=40,left
16920,815808438479556609,KPrasshant,male,non-org,>=40,neutral
16923,98855672,moviesashish,male,non-org,>=40,left
16924,1210574442998296577,VishalUkey16,male,non-org,19-29,neutral
16925,188690108,Vijapandey,male,non-org,19-29,neutral
16926,1184003925550100481,pilot_satyam,male,non-org,19-29,neutral
16927,422202513,newsfarooqkhans,male,non-org,19-29,neutral
16929,1190933878682206210,mayur_lembhe,male,non-org,19-29,neutral
16931,718682498092281860,JsharmaINC,male,non-org,19-29,neutral
16933,1376609066064211975,Paliwal_Dip,male,non-org,19-29,neutral
16934,1278897504604483587,TheBlackHole_0,male,non-org,19-29,neutral
16935,88180867,rituraj_prht,male,non-org,19-29,left
16936,161535294,ptran408,male,non-org,>=40,neutral
16937,1383689146934255620,RajKuma28285944,male,non-org,<=18,neutral
16938,1209546495361310720,Aahana_speaks,female,non-org,19-29,neutral
16939,1221184904202817537,imashutosh007,male,non-org,19-29,neutral
16940,385873644,RamShanbhoge,male,non-org,>=40,left
16941,1450380943,Yrakesh846yadav,male,non-org,30-39,neutral
16942,58555597,IamTDas,male,non-org,19-29,neutral
16943,86525322,ganeshganjare,male,non-org,30-39,neutral
16944,1357682421739700230,MehkareP,male,non-org,30-39,left
16945,1313482924868722688,Zoe19924657,male,non-org,<=18,neutral
16946,34960986,Ekbyte,male,non-org,19-29,left
16947,716677673074864128,ashishmalik_007,male,non-org,19-29,neutral
16948,1269197508707680257,Hayat_SidNaaz,female,non-org,19-29,neutral
16949,164203195,MePiyushOjha,male,non-org,>=40,left
16950,785790281064951808,singhal2338,male,non-org,30-39,neutral
16951,1198632541,MeAAPian,male,non-org,19-29,neutral
16952,1252344599064072193,Dvrmvet,male,non-org,19-29,neutral
16953,1336561059943968770,VermaShak,female,non-org,<=18,neutral
16954,742328424,hargunspeaks,male,non-org,19-29,left
16955,18630567,tikulli,female,non-org,30-39,neutral
16956,1053917848794320897,Indrapal_Gupta1,male,non-org,30-39,neutral
16957,1358422560300359685,Shivaniireddyk,female,non-org,<=18,neutral
16959,2559574928,GopalMumbai,male,non-org,>=40,neutral
16960,1051677696,mitmcs,male,non-org,<=18,neutral
16964,114183985,gauravrmehta,male,non-org,30-39,neutral
16965,1325026394892427271,Bongboy50903279,male,non-org,19-29,neutral
16966,369433560,freezethinker,male,non-org,19-29,neutral
16967,311370262,Su7sH,male,non-org,30-39,neutral
16968,1386353826597203978,Anjali97033472,male,non-org,<=18,neutral
16969,614313517,satyawanjingare,male,non-org,<=18,left
16970,170642110,rajeshkshitij,female,non-org,>=40,left
16971,98390275,aneesinha,female,non-org,30-39,left
16972,561789239,rknaidu86,male,non-org,30-39,neutral
16973,923263944151756800,Shamikh1508,male,non-org,19-29,neutral
16974,1092672070842863618,DrdeelipS,male,non-org,>=40,left
16975,1073867609500602368,AshtaputreD,male,non-org,>=40,neutral
16976,314724985,Vikassinghdev,male,non-org,<=18,neutral
16977,227581798,aafalke,male,non-org,19-29,neutral
16978,1281590621950492672,aneesha_sondhi,female,non-org,19-29,neutral
16979,933665140225884160,baliashish10111,male,non-org,<=18,neutral
16980,940249213165740032,NitinGu40497869,male,non-org,30-39,neutral
16981,213184269,mubinster,female,non-org,>=40,left
16982,141244129,KiddingKidDoc,male,non-org,19-29,neutral
16983,1357283189467869185,Shivank94075912,male,non-org,30-39,neutral
16984,422483522,devtripathi04,male,non-org,>=40,neutral
16986,113829539,flexicrete,male,non-org,>=40,left
16987,976127545,ManojSharmaBpl,male,non-org,>=40,left
16988,935415810046038017,akash_kushalkar,male,non-org,19-29,neutral
16989,497848631,ipramodsharma,male,non-org,>=40,neutral
16990,3037654734,vijayjdarda,male,non-org,>=40,neutral
16991,1041416776221896704,D_Maverickk,male,non-org,<=18,neutral
16992,862848368,shahidayoub_,male,non-org,19-29,left
16993,95662194,shirinmehrotra,female,non-org,>=40,left
16994,1252056491928031233,timesofrepublic,male,non-org,>=40,neutral
16995,749543733012492288,SiddharthaP47,male,non-org,19-29,neutral
16996,2516159371,cute_siyappa,female,non-org,<=18,neutral
16997,3131117019,GillRaeWalker,female,non-org,>=40,right
16998,744592927553249282,Sowmyareddyr,male,non-org,19-29,left
16999,2382424129,HarshalIdea,male,non-org,30-39,neutral
17000,1049871637280116737,adhy_sv,male,non-org,<=18,neutral
17001,14233596,loksh,male,non-org,19-29,left
17002,4025197514,Vikrantsingh093,male,non-org,19-29,neutral
17003,1241038763725185026,PranavS84914979,male,non-org,>=40,neutral
17004,46336817,ajay43,male,non-org,>=40,neutral
17005,114347663,bansal7399,male,non-org,>=40,neutral
17006,84636335,AjChakravarthy,male,non-org,19-29,left
17007,1462127298,Montoo70,male,non-org,>=40,left
17009,31033962,Kuldeep9Sharma,male,non-org,>=40,left
17011,17752903,ndsharma,male,non-org,>=40,right
17012,53969824,Mizna_R,male,non-org,<=18,left
17013,1226823529087164419,dipamparmar,male,non-org,30-39,neutral
17014,136596972,drgilada,male,non-org,>=40,left
17015,119409806,write2prafull,male,non-org,>=40,left
17016,1364834705468780544,Ravikum83799326,male,non-org,30-39,neutral
17017,1213850706945310721,MAJDRBPSINGH2,male,non-org,>=40,left
17018,1394079906,sbajpai2811,female,non-org,19-29,neutral
17019,777080134637674496,Jitul89,male,non-org,30-39,left
17020,94273421,smritirawat,female,non-org,30-39,neutral
17021,1087178886222413825,aswini43761478,male,non-org,>=40,neutral
17022,1456431499,SanjayJog7,male,non-org,<=18,left
17023,199561437,iSinghParvinder,male,non-org,>=40,left
17024,932186044388147200,abhi_ar1,male,non-org,>=40,left
17025,72034591,AnkitLal,male,non-org,>=40,neutral
17026,134764252,atulr85,male,non-org,>=40,right
17028,75523408,k30marcos,male,non-org,>=40,neutral
17029,2540871962,vikaskarnwal1,male,non-org,<=18,neutral
17031,1270933608023289856,stayhomehappy1,male,non-org,>=40,neutral
17032,164652739,ChopraLohit,male,non-org,30-39,neutral
17033,1466640938,AnubhootiP,male,non-org,<=18,neutral
17034,295833027,Harshilmehta25,male,non-org,<=18,left
17035,940500417246511104,be_nirvana,female,non-org,19-29,neutral
17037,899546577936670720,msk_mpwale,male,non-org,30-39,left
17038,825660082444603392,ShrishtiKathole,female,non-org,19-29,neutral
17039,1284350636138491906,TrushMaha,male,non-org,30-39,neutral
17040,1277264373321330688,RAVIKUMARNY5,male,non-org,30-39,left
17041,3325632680,navin4nation,male,non-org,30-39,left
17043,92769599,harmitc,male,non-org,30-39,left
17045,887654034,MofaYasir,male,non-org,19-29,right
17046,45513036,RPisIndian,male,non-org,>=40,left
17047,2587176018,priyankaMP_BBK,female,non-org,30-39,neutral
17048,101982512,urvashikhona,male,non-org,19-29,left
17049,1320430802111500291,AkshatM5,male,non-org,19-29,neutral
17053,97611168,Tuitwe,male,non-org,30-39,neutral
17054,13317162,F1sT,male,non-org,19-29,right
17055,793301736,samadhan83,male,non-org,30-39,neutral
17056,715746070064537601,sanketnayak89,male,non-org,30-39,left
17057,288686627,yeh_kya,male,non-org,30-39,neutral
17058,930027467791667200,DrLuttapi,male,non-org,>=40,left
17059,1301795209894739968,shinysobi,male,non-org,19-29,neutral
17060,319558915,kalisvar,male,non-org,>=40,neutral
17061,232497897,pksrivastava6,male,non-org,>=40,neutral
17063,283880163,iRaviTiwari,male,non-org,19-29,neutral
17064,225027911,igurwindersg,male,non-org,19-29,neutral
17065,1385482056868659200,Harshcid_,male,non-org,30-39,neutral
17067,268721294,RizSheikhs,male,non-org,19-29,neutral
17068,204202063,chhotapasta,male,non-org,>=40,neutral
17069,845995512113311744,gunjan_gaikwad,male,non-org,>=40,left
17071,2347952990,csbhandiya,male,non-org,19-29,neutral
17072,1312055020821442562,AnanyaRian,female,non-org,19-29,left
17073,1240943990079250433,Karan02Patel,male,non-org,<=18,neutral
17074,37617138,pragatiwari,male,non-org,>=40,left
17078,960235567,jshakarwal,male,non-org,30-39,neutral
17080,797993490193977344,DARSH__22,male,non-org,19-29,neutral
17083,1213041778678358016,KissanSatyagrah,male,non-org,>=40,neutral
17084,4772924802,isha_daga,female,non-org,30-39,left
17086,722300275,Ajaykumar00009,male,non-org,>=40,left
17087,1310354133870735361,keroooo_chan,male,non-org,19-29,neutral
17088,570558012,Chethu000M,male,non-org,30-39,left
17090,372299022,_shriraj,male,non-org,>=40,neutral
17091,2824588721,sherickp,male,non-org,<=18,neutral
17093,873198269920415744,malayaliatticus,male,non-org,>=40,neutral
17094,2346470270,dondeepu1234,male,non-org,>=40,neutral
17096,805714425336299521,AmanRashid09,male,non-org,19-29,neutral
17097,1906721593,ramandialnet,male,non-org,>=40,neutral
17098,1681261532,29_ruchibhatia,female,non-org,19-29,left
17099,1346377354692595712,TapasMi38489220,male,non-org,<=18,left
17101,1380816331272900612,Shivani32083844,male,non-org,<=18,neutral
17102,1367337979140710407,vizhpuneet,male,non-org,>=40,neutral
17103,110467490,appurv_gupta,male,non-org,19-29,neutral
17104,775351041030139904,Endoananth,male,non-org,>=40,neutral
17105,2462032064,Farahnomad123,female,non-org,<=18,neutral
17106,3180744943,dezlobo,male,non-org,>=40,neutral
17107,1312465023877480454,Shubhi85988192,female,non-org,<=18,neutral
17109,1309611843988713472,TransparentRPH,male,non-org,30-39,left
17110,10587762,RonakShah,male,non-org,30-39,left
17111,1151739931703648258,PalakTiwari_,female,non-org,19-29,neutral
17112,1352819801970905089,mommy_yoda,female,non-org,19-29,left
17113,364387128,dev47047,male,non-org,>=40,left
17114,191817242,007Manish007,male,non-org,>=40,neutral
17115,2885788703,sauravterrible,male,non-org,30-39,left
17116,959250077821779968,VishnuSurekaa,male,non-org,19-29,neutral
17117,53851918,noshortcut_,male,non-org,>=40,left
17118,793825556751982592,rammee2205,male,non-org,>=40,left
17119,1017070559283343360,DNeurosx,male,non-org,19-29,neutral
17121,3274251432,saketjaiswal_sj,male,non-org,30-39,left
17122,1863941888,knockinamit,male,non-org,>=40,neutral
17123,64970088,santoshinde,male,non-org,19-29,neutral
17124,4319547099,mohit9752189174,male,non-org,<=18,neutral
17126,44389414,sharonkgilbert,female,non-org,>=40,right
17127,196500134,PatrakaarPopat,male,non-org,>=40,neutral
17128,225295070,bhoyarvineet,male,non-org,<=18,neutral
17129,1281573292323692545,FajrKhan7,male,non-org,19-29,neutral
17131,1186887996,Sonib9,male,non-org,30-39,neutral
17132,17759748,ClinicalSkills1,male,non-org,>=40,left
17133,2271905708,Vandhana1810,female,non-org,19-29,neutral
17134,1291970774455074819,var__shhhh,female,non-org,19-29,neutral
17135,408467423,VidyaKrishnan,male,non-org,19-29,neutral
17136,1080145633414008832,Praveen21876714,male,non-org,30-39,left
17137,1265227974560882689,Metro_Monk,male,non-org,19-29,neutral
17139,806873007176249348,DineshOadMajoka,male,non-org,>=40,left
17140,1073488213191225344,OfficeOfVJ,male,non-org,>=40,neutral
17141,35172516,tulibanerjee_,female,non-org,>=40,neutral
17142,205321725,Heer7077,male,non-org,19-29,left
17143,300793823,iamsurajkamdi,male,non-org,19-29,left
17144,830558823412756480,DocMary75,male,non-org,>=40,left
17145,840922992146292736,Nimana_Simran,male,non-org,19-29,left
17146,2178422364,DrAshwin1,male,non-org,>=40,neutral
17147,1311382815997452288,S7_5A,male,non-org,<=18,neutral
17148,1132206889188638720,Ambreensmagic,female,non-org,<=18,neutral
17149,2954688895,BaranwalJyotish,male,non-org,19-29,neutral
17150,714724362176315392,umesh_bagkar,male,non-org,<=18,neutral
17151,2218558928,kasaveri,male,non-org,>=40,neutral
17152,1204692505414946817,SaDiQuE_921,male,non-org,30-39,neutral
17153,1361910192435208193,notbeingharsh,male,non-org,>=40,left
17154,825750335402545153,byehoe_baeno,male,non-org,<=18,neutral
17155,776991258937925633,drkrvcvijay,male,non-org,>=40,neutral
17156,336515794,NareshLalita,male,non-org,>=40,left
17157,4581377172,syedtouseefulla,male,non-org,>=40,left
17158,142312557,Anant4880,male,non-org,>=40,left
17159,471144509,deepikajaniyani,male,non-org,30-39,neutral
17160,1551194802,DrColinChurch,male,non-org,>=40,left
17161,108999532,guru30989,male,non-org,<=18,neutral
17162,784061000299315200,ChuhaBillii,male,non-org,19-29,left
17164,1378635683854610433,InsideRepoter,male,non-org,>=40,left
17165,118409896,duttabhishek,male,non-org,>=40,left
17166,14465282,kevinpurcell,male,non-org,>=40,neutral
17167,882620892794286081,nargiskhan_,male,non-org,<=18,neutral
17168,92504501,naveensingle,male,non-org,30-39,left
17169,4783824918,aatma_shetty,female,non-org,>=40,neutral
17170,100243370,Chandym,male,non-org,>=40,left
17171,1307175740375474176,PanwalaShashin,male,non-org,30-39,neutral
17172,1042115724469129216,Sunil_Hosamane,male,non-org,30-39,left
17173,1284498517210218496,kallolc75071081,male,non-org,>=40,neutral
17174,47833740,biren_bhatt,male,non-org,>=40,left
17175,1228964798173368321,pb3060,male,non-org,30-39,neutral
17176,1298423017,Kunal_Verma_pb,male,non-org,30-39,neutral
17177,814071365623914496,The_veenaD,female,non-org,19-29,left
17178,2215812403,Teensthack,female,non-org,30-39,left
17179,59713937,kulveentrehan,female,non-org,30-39,neutral
17180,2251086445,AbhisekSubham,male,non-org,19-29,left
17181,44369174,yogi_77,male,non-org,>=40,left
17183,1071462444411670529,Devanshkannauj1,male,non-org,<=18,neutral
17184,2500449876,sreeprayag,female,non-org,>=40,neutral
17185,944090989362274304,itsmahi__,female,non-org,<=18,neutral
17186,1527024211,shreyadhoundial,female,non-org,>=40,left
17187,1203538019820720130,iconic_sid,male,non-org,19-29,neutral
17188,1351126000164360193,Vineeth18465464,male,non-org,<=18,neutral
17189,107459088,20Raghvesh,male,non-org,<=18,neutral
17191,1019999152099348480,ManeeVishwakar2,male,non-org,30-39,neutral
17192,3402708437,mohd_aaqib,male,non-org,19-29,neutral
17193,759371428487634944,sarlakosaria,female,non-org,>=40,neutral
17197,2514485820,bringwing,male,non-org,19-29,neutral
17198,1116038298,jjjust4fffun,male,non-org,>=40,neutral
17199,75189521,prabhatk29,male,non-org,>=40,left
17200,1376910230,BeingSmeet1012,male,non-org,>=40,neutral
17201,1081535706789425153,ShoebKh17099198,male,non-org,<=18,neutral
17202,2904589153,KalpeshSeludkar,male,non-org,19-29,neutral
17204,92555364,tariqtramboo,male,non-org,>=40,neutral
17206,785923637727547392,MustLuvImran,male,non-org,>=40,left
17207,1220928480725962752,PreetishLal,male,non-org,30-39,neutral
17208,2912925300,pawaskar_sha,male,non-org,19-29,left
17209,512288685,manish_fic,male,non-org,<=18,neutral
17211,113838013,ankitbayer66,male,non-org,>=40,left
17213,1351500600429613058,Jay57976553,male,non-org,<=18,neutral
17215,1233770369586270208,AgarwalVidul,male,non-org,<=18,neutral
17216,1358343924700512260,shreekesa,male,non-org,19-29,neutral
17217,98182995,sri_mash,male,non-org,>=40,left
17218,823229663379980288,anjs1551,male,non-org,>=40,neutral
17219,778538846757588992,Nadeem_Akhtar11,male,non-org,19-29,left
17221,865077813631533056,Lakhdeep74Singh,male,non-org,<=18,neutral
17222,1278998053693751296,HareKri30217011,male,non-org,<=18,neutral
17223,894848950808616960,KrunalShah225,male,non-org,19-29,neutral
17224,1004094631,DMification,male,non-org,<=18,left
17225,948919596752359425,rammohan7406,male,non-org,>=40,neutral
17227,700652670177021952,nitendra_adv,male,non-org,>=40,neutral
17228,1385281758350905344,Tejas4kdmc,male,non-org,30-39,neutral
17229,72255032,stellasglobe,female,non-org,19-29,left
17230,47325599,singhvarun,male,non-org,>=40,neutral
17232,1115099372843360256,PakaMatChal,male,non-org,19-29,left
17233,2545808048,thanda_ghosh,male,non-org,19-29,left
17234,105546946,complaintboy,male,non-org,>=40,neutral
17235,152241185,NJoytotheworld,male,non-org,19-29,left
17237,3312075584,ardhendu_rai,male,non-org,>=40,left
17238,2556386054,_Sehrawat_,male,non-org,19-29,neutral
17239,1076142986,BhadsaleYati,male,non-org,19-29,neutral
17241,1213503645477527553,Richardzachar19,male,non-org,19-29,left
17242,1182311543850950657,EshantJain9,male,non-org,19-29,neutral
17243,1131585919708831744,RahulTi04488600,male,non-org,30-39,neutral
17244,128128524,boletokafir,male,non-org,30-39,neutral
17245,823968755067797504,Xenohadi,male,non-org,30-39,neutral
17246,799218321807831040,ikalania121,male,non-org,30-39,neutral
17247,52699630,Erawi_Bharat,male,non-org,19-29,neutral
17248,522985721,Aqsthetics,male,non-org,<=18,neutral
17249,1249231780650995712,Ashishdangwal07,male,non-org,19-29,neutral
17250,1272107487420747776,ManojYa36356870,male,non-org,<=18,neutral
17251,879984461642964992,Imsurbhis,male,non-org,<=18,neutral
17252,608154098,isaqshirazi,male,non-org,<=18,neutral
17254,1248302522810290176,BarnCosmos,male,non-org,>=40,neutral
17255,18386299,mandar2404,male,non-org,>=40,left
17256,4857887712,AryemanBTadka,male,non-org,<=18,neutral
17258,928680883271426048,Lakshmimittal12,male,non-org,19-29,left
17259,2944107631,dharmendra8898,male,non-org,<=18,neutral
17260,1253336039516594178,LatestNdtv,male,non-org,30-39,neutral
17263,550377428,AshokShrivasta6,male,non-org,>=40,neutral
17264,1086222806084272128,ANJALI72348961,male,non-org,<=18,right
17265,1358263629531893761,Siddhan44667878,male,non-org,30-39,neutral
17269,861852818818220032,DrSRaghavachari,male,non-org,30-39,neutral
17270,17775942,SinghPramod2784,male,non-org,30-39,right
17272,1013607175,Joywin04,female,non-org,30-39,neutral
17273,1251787082613301248,ArtShalaaa,male,non-org,19-29,neutral
17274,1515952328,aditya942000,male,non-org,<=18,neutral
17275,622908523,TheSilentBull,male,non-org,30-39,left
17276,3308977567,rohit14_,male,non-org,<=18,neutral
17277,1106098574,Beahumane1st,male,non-org,>=40,left
17278,607290435,abhaybohras,male,non-org,<=18,neutral
17279,136923136,PratikRPoddar,male,non-org,30-39,left
17280,1207479906273153024,fabled_xi,male,non-org,19-29,neutral
17281,1060146674897608704,AitcRahul_,male,non-org,<=18,neutral
17282,101036724,karan_neil,male,non-org,>=40,neutral
17283,26240806,arseinho,male,non-org,30-39,left
17284,2732171959,BJP4ever,male,non-org,30-39,neutral
17285,1382217372522610693,Vinayak28294472,male,non-org,<=18,neutral
17286,57107052,prashantshukla3,male,non-org,30-39,neutral
17287,291504733,abprasad167,male,non-org,30-39,neutral
17289,35281661,mangeshn,male,non-org,>=40,right
17290,3024158028,drstak70,male,non-org,>=40,neutral
17293,1196712703768678400,DrDines21073338,male,non-org,30-39,neutral
17295,902174673802113024,Saurav1Majumdar,male,non-org,30-39,neutral
17296,75576446,jayprakashindia,male,non-org,>=40,left
17297,1055181621526126592,rghvm9,male,non-org,30-39,left
17298,309152096,azizkavish,male,non-org,19-29,neutral
17299,3692170214,narendranathNBT,male,non-org,>=40,neutral
17300,1181872179425603584,KartikaySahu,male,non-org,<=18,neutral
17302,137780376,Dev_Fadnavis,male,non-org,<=18,neutral
17303,756489930,SSKCafe,male,non-org,>=40,left
